Movie Name,Genre,Ratings,Voting Counts,Duration
Deadman's Land,Action,8.6,15.0,90.0
Death Border,Action,,,80.0
Death Merchant: City of Insurrection,Action,7.2,8.0,102.0
Deep Water,Action,5.4,11000.0,106.0
Delhi Gate,Action,6.4,6.0,137.0
Demon Dancer: Sua/Nara,Action,6.3,100.0,82.0
Depths of Fear,Action,8.6,85.0,75.0
Derby,Action,3.5,1500.0,135.0
Destiny's Race,Action,,,85.0
Detective Chen 2,Action,5.7,36.0,90.0
Detective Conan: Fallen Angel of the Highway,Action,6.2,454.0,109.0
Detective Dee: Buddha's Wrath,Action,,,71.0
Detective Teekshana,Action,9.2,505.0,121.0
Devagudi,Action,1.8,2100.0,152.0
Dhamaal 4,Action,8.1,36000.0,143.0
Dhurandhar No1,Action,4.8,11.0,
Dhurandhar: The Revenge,Action,8.2,71000.0,235.0
Di Renjie: Bloodstained Coffin,Action,,,83.0
Dial 1975,Action,5.2,67.0,
Diamond Dacoit,Action,8.9,1500.0,
Diamond Made Man,Action,6.5,38.0,152.0
Dire Duplicity,Action,7.0,37.0,93.0
Disclosure Day,Action,6.4,146000.0,145.0
Disgusting Man,Action,7.0,11.0,96.0
Don't Forget Me,Action,4.7,512.0,70.0
Double Kill,Action,8.4,304.0,85.0
Downbeat,Action,8.5,20.0,91.0
Drug Dealer,Action,,,33.0
Drug Hunt Mission,Action,,,97.0
Drutharastrudu,Action,,,109.0
Echo Point,Action,,,62.0
Eiga Chô Uchû Keiji Gyaban Infiniti Taiyô ga Naita Hi,Action,,,30.0
Eiga Kamen Raidâ Zettsu Sayonara no Misshon,Action,9.4,5.0,
El Centinela Oscuro,Action,,,61.0
El Cobro de Piso El Comandante Asesino,Action,,,64.0
El Dia De Los Muertos Angeles Caidos,Action,,,80.0
El Indio y El Hacendado,Action,,,74.0
El Negro Valencia,Action,,,61.0
El Perron De Jalisco El Narco de Narcos,Action,,,69.0
El Ultimo Encargo de Julián Rojas,Action,,,
El interrogante,Action,,,91.0
Eliminate Criminals,Action,,,90.0
En nasjon i sjakk,Action,,,
Enola Holmes 3,Action,5.7,30000.0,105.0
Escalofrío,Action,,,106.0
Evel,Action,4.9,19.0,
FURY: Revenge Isn't a Choice It's a Legacy,Action,,,
Faad,Action,,,
Facing El Chapo,Action,6.7,3600.0,91.0
Father: The Judgement Is inconclusive,Action,8.2,173.0,116.0
Felai FX - Trader Gelap: Apa Mau Takut,Action,,,88.0
"Ferria 2, Una paz poco duradera",Action,,,160.0
Fight Against Evil 3,Action,6.8,294.0,100.0
Fire Tornado,Action,7.1,32.0,83.0
Fist of Fury: The Winds of Jingwu,Action,,,80.0
Fist to Fist,Action,5.7,64.0,90.0
Forgotten Island,Action,6.8,166.0,109.0
Friday & Friday,Action,6.9,20.0,120.0
Friendly Viacom and Friends: The Movie,Action,,,86.0
Frostbite,Action,,,82.0
Furious Attack,Action,6.2,71.0,77.0
Fury in the Shadows,Action,6.0,64.0,85.0
G.O.A.T,Action,5.5,18.0,152.0
G.O.D.Tech,Action,,,105.0
GOAT,Action,6.6,30000.0,100.0
Gangster's Daughter 5,Action,,,70.0
Gayong 2,Action,7.0,81.0,82.0
Geostorm,Action,8.2,8.0,88.0
Get Set Go,Action,8.1,315.0,148.0
Ghermeze Yavash,Action,1.8,37.0,91.0
Ghost in Plain sight,Action,,,
Ghost in the Cell,Action,6.9,2100.0,106.0
Gintama: Yoshiwara in Flames,Action,8.7,378.0,124.0
Girl Judge,Action,,,90.0
Give Me Back My Bicycle!,Action,,,82.0
Glass Dragon,Action,,,
Gli imprevisti 2,Action,,,
God Skin,Action,7.2,19.0,
Golden Blood,Action,,,
Golden Kamuy: The Abashiri Prison Raid,Action,6.2,411.0,122.0
Gong fu nv zu,Action,5.7,815.0,106.0
Graamaayana,Action,7.4,45.0,126.0
Green Man 5,Action,,,
Greenland 2: Migration,Action,5.2,47000.0,98.0
Grey Wolf,Action,,,59.0
Grief 97% 75%+ X27 Stream 364,Action,7.8,10.0,
