Movie Name,Genre,Ratings,Voting Counts,Duration
The Trap,Animation,,,5.0
Patlabor EZY: File 1,Animation,7.3,15.0,71.0
Chimney Town: Frozen in Time,Animation,5.9,26.0,98.0
Aanikoobijigan,Animation,8.2,27.0,85.0
Ainak Wala Jin - The Movie,Animation,3.2,11.0,
Pilgram's Progress Part 2 - Christiana,Animation,,,
Dante & miljonerna,Animation,5.6,6.0,76.0
Big City Pizza,Animation,6.5,23.0,80.0
Kalyug Ant ka Aarambh,Animation,9.1,36.0,51.0
"Winnipeg, el barco de la esperanza",Animation,7.3,11.0,78.0
O filho da puta,Animation,,,72.0
58th,Animation,8.1,17.0,
Xana y el secreto del tiempo,Animation,8.9,8.0,106.0
571 Rahmet Peygamberi Hz. Muhammed,Animation,4.8,45.0,75.0
Patlabor EZY: File 2,Animation,,,70.0
Chiranjeevi Hanuman: The Eternal,Animation,,,
Brave Cat,Animation,8.3,6.0,87.0
La Familia del Barrio: La Maldición del Quinto Partido,Animation,6.9,70.0,85.0
The Helpers,Animation,,,
Ceremony,Animation,9.0,7.0,83.0
Super 1 Takim Varol Abi'nin Cizgi Film Makinesi,Animation,1.9,52.0,91.0
Ah My Goddess: Hazbin Hotel Is Charlie Morningstar A Real Demon?,Animation,6.2,6.0,84.0
Alias,Animation,,,121.0
CupToons: The Pitcher Feature,Animation,,,
Three Wishes for Cinderella,Animation,5.2,27.0,86.0
Gruzovichki,Animation,6.2,16.0,65.0
Marcus James: The Movie 2,Animation,7.9,20.0,
2026 Oscar Nominated Short Films: Animation,Animation,7.4,48.0,83.0
Strings,Animation,6.4,7.0,
Yagoat,Animation,7.8,8.0,83.0
1881 Atatürk: Bir Liderin Dogusu,Animation,4.1,32.0,77.0
Leo i Tig. Doroga na Baykal,Animation,3.6,10.0,65.0
Pour the Water as I Leave,Animation,,,75.0
Shrounding the Heavens Movie: Fighting Against Wang Teng with Copper Coffin,Animation,,,
Eeshan - The Protector,Animation,,,
Personas Normales: La Pelicula,Animation,5.7,7.0,81.0
No Rock Unturned,Animation,,,79.0
Pilgrims,Animation,,,60.0
The Book Movie,Animation,,,
Bliss: Beyond the Edge of Time,Animation,,,95.0
Children of Liberty,Animation,,,
GG Bond: Race Through Time,Animation,8.1,19.0,86.0
The Orbit of Minor Satellites,Animation,,,118.0
Xiao Na,Animation,,,
Dominykas the Horse's Journey to the Stars,Animation,4.9,27.0,80.0
Girls und Panzer: Motto Love Love Sakusen Desu! Act 3,Animation,6.2,7.0,72.0
Girls und Panzer: Motto Love Love Sakusen Desu! Act 2,Animation,5.9,10.0,72.0
Ghost Band,Animation,,,82.0
Wicked Wonderland 4,Animation,,,80.0
