Movie Name,Genre,Ratings,Voting Counts,Duration
Rainbow on Mars,Sci-Fi,3.8,174.0,112.0
Zi,Sci-Fi,5.7,124.0,99.0
Ice Twister,Sci-Fi,5.7,29.0,79.0
Grind,Sci-Fi,7.8,74.0,104.0
Maya Satya Bhram,Sci-Fi,8.8,58.0,134.0
Foufo,Sci-Fi,7.1,57.0,120.0
The Last Apocalypse,Sci-Fi,2.7,92.0,78.0
Voidance,Sci-Fi,4.3,122.0,86.0
Wasteland Cop,Sci-Fi,3.0,6.0,80.0
Agito Chônôryoku Sensô,Sci-Fi,6.4,33.0,97.0
Kong vs. Megacock,Sci-Fi,4.6,32.0,61.0
Cyber Protocol,Sci-Fi,,,105.0
Assassination Classroom the Movie: Our Time,Sci-Fi,6.5,153.0,86.0
Wizard of Death: Tinman's Rise,Sci-Fi,3.6,90.0,73.0
Masthishka Maranam,Sci-Fi,6.4,7000.0,147.0
Ice-Pocalypse,Sci-Fi,2.5,196.0,85.0
Glitch,Sci-Fi,9.1,16.0,68.0
Aquarium,Sci-Fi,9.3,67.0,93.0
Echoes of Tomorrow,Sci-Fi,9.3,10.0,
Alien Storm,Sci-Fi,6.2,375.0,
Dreams of Violets,Sci-Fi,2.3,68.0,74.0
A Sense of Dread,Sci-Fi,3.6,121.0,105.0
Shocktopus,Sci-Fi,3.7,98.0,71.0
The Peril at Pincer Point,Sci-Fi,7.8,42.0,83.0
Smeshariki. Skvoz vselennye,Sci-Fi,5.5,62.0,85.0
Rock Springs,Sci-Fi,5.9,95.0,96.0
Showdown in Secret City,Sci-Fi,7.4,296.0,95.0
Imaginal Disk,Sci-Fi,9.3,21.0,59.0
Censor Addiction,Sci-Fi,7.2,137.0,88.0
Han ye deng zhu,Sci-Fi,6.5,77.0,90.0
WallDale,Sci-Fi,4.4,59.0,135.0
Judge Michael: Rise of the Law,Sci-Fi,8.1,119.0,65.0
Star Trek: Legacies,Sci-Fi,,,164.0
Black Holes Suck,Sci-Fi,4.6,75.0,91.0
Ben'imana,Sci-Fi,7.4,74.0,101.0
Another,Sci-Fi,,,93.0
Drunken Woman,Sci-Fi,7.5,505.0,
The Vanishing Tour,Sci-Fi,8.5,17.0,91.0
Mega Tsunami: The California Collapse,Sci-Fi,,,61.0
Anunnaki Chronicles: Evolution of Draconian Measures on Earth,Sci-Fi,2.2,27.0,
Robotica,Sci-Fi,,,
Space Ranger: New Worlds,Sci-Fi,3.0,66.0,68.0
Hungry,Sci-Fi,7.5,15.0,
Addicted to Change,Sci-Fi,5.2,52.0,86.0
Treagens' Black Shadows,Sci-Fi,2.7,35.0,57.0
Robot Girls,Sci-Fi,1.9,82.0,87.0
Los Días Libres,Sci-Fi,6.2,12.0,84.0
Dracula in Space,Sci-Fi,3.1,106.0,81.0
First Zone,Sci-Fi,8.2,6.0,84.0
Los nadadores,Sci-Fi,5.8,34.0,74.0
Final Orbit,Sci-Fi,8.5,12.0,65.0
Borealis,Sci-Fi,5.2,9.0,94.0
Sinking Road,Sci-Fi,8.3,21.0,56.0
Vertical,Sci-Fi,9.6,8.0,72.0
Asteroid Vixens,Sci-Fi,4.7,9.0,89.0
Knights of the Old Republic: Escape from Taris,Sci-Fi,8.1,72.0,125.0
Amityville Aliens,Sci-Fi,3.6,45.0,75.0
Echoes of Dread,Sci-Fi,7.5,14.0,81.0
Titanic Ocean,Sci-Fi,6.2,66.0,130.0
Andy,Sci-Fi,6.8,15.0,34.0
The Game of Life,Sci-Fi,5.3,112.0,94.0
Crocodile,Sci-Fi,7.0,25.0,100.0
No Evidence of Man,Sci-Fi,7.7,28.0,94.0
Qun Xing Shan Yao Shi,Sci-Fi,6.1,75.0,131.0
The Last Guest: Reimagined - The Origin,Sci-Fi,8.5,53.0,87.0
The House on the Moon,Sci-Fi,5.4,10.0,
Diamond Made Man,Sci-Fi,6.5,38.0,152.0
Love Is the Monster,Sci-Fi,,,95.0
Turn It Up!,Sci-Fi,5.3,10.0,91.0
Remanente: Voltagem,Sci-Fi,7.1,7.0,80.0
Again Again,Sci-Fi,7.6,23.0,99.0
Worry Time,Sci-Fi,8.3,10.0,
Short Fuse,Sci-Fi,8.9,63.0,100.0
Crystal's Alien Obsession,Sci-Fi,,,
Eiga Kamen Raidâ Zettsu Sayonara no Misshon,Sci-Fi,9.4,5.0,
Nobody's Violence,Sci-Fi,5.8,17.0,118.0
Captive,Sci-Fi,,,92.0
The Galactic Ghoul,Sci-Fi,8.0,12.0,85.0
The Reality Experiment,Sci-Fi,9.0,9.0,93.0
Mischief Upon Mischief,Sci-Fi,6.5,22.0,123.0
Diamond Made Man Part 2,Sci-Fi,3.6,12.0,152.0
The Grimm Backward,Sci-Fi,,,72.0
Don't Push That!,Sci-Fi,9.0,16.0,
Shin Gekijô-ban Keroro Gunsô Fukkatsu Shite Sokkô Chikyû Metsubô no Kiki de Arimasu!,Sci-Fi,6.2,16.0,109.0
Alien in the Heartland,Sci-Fi,5.5,47.0,
Grotesqqque,Sci-Fi,,,
Metropolis Beyond,Sci-Fi,,,70.0
New Worlds: Machine Uprising,Sci-Fi,6.4,11.0,83.0
Onyx: Nexus,Sci-Fi,,,75.0
Patlabor EZY: File 1,Sci-Fi,7.3,15.0,71.0
The Beast of Riverside Hollow,Sci-Fi,7.2,15.0,107.0
Man Has A Mania,Sci-Fi,,,
Unexpected Treasures,Sci-Fi,5.5,20.0,95.0
Levsha,Sci-Fi,5.4,227.0,113.0
Okamiverse: Stray Hunter,Sci-Fi,,,
War of the Worlds: The Final Wave,Sci-Fi,,,109.0
Daughters of the Forest,Sci-Fi,8.6,78.0,95.0
Isolation,Sci-Fi,,,122.0
Time Warp,Sci-Fi,8.3,11.0,112.0
Pretty Girls Kill,Sci-Fi,5.1,10.0,
Patlabor EZY: File 2,Sci-Fi,,,70.0
The Observatory,Sci-Fi,,,
First Time,Sci-Fi,6.8,3400.0,108.0
G.O.D.Tech,Sci-Fi,,,105.0
The Sanctum 3: Afterlife,Sci-Fi,,,158.0
Tiresias,Sci-Fi,5.5,33.0,83.0
Heartworm,Sci-Fi,8.3,8.0,
The Distant Jump,Sci-Fi,,,
Yugantar - The End of Time,Sci-Fi,,,160.0
