Movie Name,Genre,Ratings,Voting Counts,Duration
Tarung: Unforgiven,Crime,7.1,126.0,100.0
Nizhal,Crime,8.0,1100.0,101.0
Cheekatilo,Crime,5.5,8900.0,126.0
Zhi ming chao xi,Crime,5.1,35.0,69.0
Mrithyunjay,Crime,6.3,1100.0,122.0
The Dreamed Adventure,Crime,6.3,154.0,167.0
Khali Balak Min Nafsak,Crime,5.7,143.0,105.0
Bad News on the Doorstep,Crime,8.0,8.0,
Nothing to Lose,Crime,5.6,593.0,99.0
Bruton,Crime,8.4,26.0,
Karmakhya,Crime,9.0,2000.0,126.0
State of Fear,Crime,4.9,765.0,103.0
Crooks,Crime,8.1,9.0,80.0
Velhos Bandidos,Crime,5.9,834.0,93.0
Spades,Crime,5.1,80.0,115.0
Dharpakad,Crime,7.9,353.0,117.0
Mystery Arena,Crime,5.4,82.0,117.0
The Idaho College Murders: Catching Kohberger,Crime,5.4,33.0,63.0
Nine Black Cats,Crime,,,96.0
Chelot,Crime,5.9,9.0,125.0
Barreda,Crime,,,105.0
The Plan,Crime,8.2,49.0,74.0
Lone Star Bull,Crime,5.4,20.0,90.0
EB,Crime,4.9,144.0,108.0
The Arab,Crime,7.4,31.0,106.0
Labrador - autopsie du silence,Crime,7.0,8.0,120.0
Candy and the Pizza Ggirl,Crime,4.3,57.0,100.0
Hold Onto Me,Crime,6.8,181.0,102.0
Plan C,Crime,6.5,31.0,89.0
We're Nothing at All,Crime,7.1,217.0,128.0
Set Me Free: Director's Cut,Crime,7.1,467.0,164.0
The Boatman,Crime,7.4,40.0,106.0
Who Killed Alex Odeh?,Crime,7.3,34.0,83.0
A Murder Between Friends,Crime,3.9,270.0,87.0
This Is Birmingham,Crime,2.8,235.0,109.0
Kaalidas 2,Crime,6.3,679.0,136.0
Skurkarnas skurk,Crime,5.5,341.0,96.0
Ultimate Revenge,Crime,6.1,150.0,112.0
Sunset Strip Killers,Crime,3.9,169.0,88.0
Jeevan Bheema Yojana,Crime,,,
A Family of Bastards,Crime,5.6,586.0,105.0
M4M: Motive for Murder,Crime,7.1,4200.0,97.0
Vanishing Point,Crime,6.7,268.0,140.0
Operasi Pesta Copet,Crime,7.5,14.0,113.0
Sakamoto Days,Crime,7.5,61.0,128.0
Malaikat Malam,Crime,4.8,157.0,111.0
Aag Lagay Basti Mein,Crime,7.7,483.0,140.0
Maigret in Society,Crime,6.0,288.0,80.0
"I, Nobody",Crime,6.0,700.0,168.0
Kraken:The Black Book of Hours,Crime,5.8,185.0,111.0
Achilles Returns,Crime,5.2,1600.0,50.0
Happy Patel: Khatarnak Jasoos,Crime,4.6,2600.0,119.0
Leader,Crime,7.6,7200.0,136.0
Top Cop,Crime,7.9,82.0,113.0
Maya Satya Bhram,Crime,8.8,58.0,134.0
Detective Chen 2,Crime,5.7,36.0,90.0
Une affaire turque,Crime,7.3,71.0,92.0
Hostage,Crime,5.4,83.0,92.0
Kadaknath,Crime,9.2,100.0,133.0
Splash City,Crime,7.5,22.0,100.0
Blackout,Crime,4.0,632.0,82.0
Sampradayaini Suppini Suddapusaani,Crime,5.3,376.0,135.0
Kaalam paranja kadha,Crime,4.1,7.0,139.0
The King of the Internet,Crime,6.2,33.0,135.0
Dirty Hands,Crime,4.0,277.0,80.0
Valluvan,Crime,9.2,704.0,129.0
The Butcher's Blade,Crime,5.8,254.0,90.0
Detective Teekshana,Crime,9.2,505.0,121.0
The Sin Trade,Crime,6.1,87.0,98.0
Rédemptions,Crime,7.6,69.0,
Cherchez La Femme,Crime,5.6,26.0,90.0
The Projectionist,Crime,6.1,20.0,94.0
Bullah,Crime,7.0,96.0,150.0
Moondram Kan,Crime,5.8,69.0,115.0
Born to Lose,Crime,7.9,11.0,112.0
A Gangster's Life,Crime,3.6,254.0,93.0
Ai shi fen nu,Crime,6.1,11.0,
Bloody Sands,Crime,,,94.0
I Call Them Souls,Crime,,,130.0
Shesha 2016,Crime,4.9,2200.0,122.0
Lunar Sway,Crime,6.8,35.0,98.0
Mother Promise,Crime,7.0,94.0,166.0
Homage,Crime,6.7,106.0,91.0
Pressure Cooker,Crime,7.2,257.0,172.0
Balaramana Dinagalu,Crime,7.3,17.0,151.0
Killer Curve,Crime,6.3,36.0,
Loverboy: Vertrouw niemand,Crime,6.8,210.0,91.0
Psychopath: The White Rabbit Killer,Crime,5.2,215.0,99.0
You'll Never Believe Who's Dead,Crime,8.7,10.0,
American Muscle,Crime,8.9,32.0,
Heysel 85,Crime,6.8,91.0,91.0
Tiket Sehala,Crime,6.4,18.0,103.0
Saraswathi,Crime,5.1,271.0,121.0
We Are Aliens,Crime,7.4,28.0,117.0
Agata Christian: Crime on the Snow,Crime,5.3,635.0,109.0
The Exhibitor,Crime,5.7,43.0,
The Salt 2,Crime,9.4,54.0,
Phoenix Jones: The Rise and Fall of a Real Life Superhero,Crime,7.8,14.0,105.0
Diabolical: The Epstein Files,Crime,6.5,375.0,90.0
Broken,Crime,6.6,34.0,114.0
Her Own Child,Crime,7.5,30.0,60.0
Arjunan Per Paththu,Crime,,,121.0
Irumbuth Thottam,Crime,,,114.0
Look Behind,Crime,8.1,19.0,107.0
Father: The Judgement Is inconclusive,Crime,8.2,173.0,116.0
Rakky,Crime,9.3,413.0,122.0
Kill Will,Crime,3.9,102.0,93.0
The Kids,Crime,4.9,34.0,49.0
Gaayapadda Simham,Crime,4.6,1300.0,140.0
King of Dope,Crime,4.9,267.0,117.0
Pennu Case,Crime,4.9,320.0,112.0
Busted Water Pipes,Crime,5.3,193.0,103.0
Hayagrriva,Crime,6.5,101.0,148.0
Dead Janitors Club,Crime,,,120.0
Manhunt,Crime,6.5,17.0,103.0
Jinx,Crime,6.0,7.0,
Treagens' Black Shadows,Crime,2.7,35.0,57.0
Lakshmikanthan Kolai Vazhakku,Crime,8.7,517.0,107.0
Semolina Pilchard,Crime,9.4,10.0,124.0
Mango Pachcha,Crime,8.5,39.0,95.0
Permanent Damage,Crime,,,
The Murder of Benjamin,Crime,6.1,10.0,
Oru Vadakkan Velicham - A Northern Light,Crime,7.8,16.0,70.0
The Narmada Story,Crime,6.4,21.0,121.0
Chargesheet 03-08,Crime,,,148.0
Irumunai,Crime,,,103.0
Jat go Bou Mun dik Daan Sang,Crime,7.3,152.0,109.0
I Am Bone,Crime,7.8,51.0,132.0
Policë për jetë,Crime,7.2,25.0,85.0
Street Flow 3,Crime,5.2,461.0,112.0
Conspiracy,Crime,5.1,20.0,123.0
Sea of Glass,Crime,,,129.0
Navya Chakra - Psycon World,Crime,7.0,54.0,100.0
Once a Week for Life,Crime,7.2,120.0,111.0
Fist to Fist,Crime,5.7,64.0,90.0
The Last Guest: Reimagined - The Origin,Crime,8.5,53.0,87.0
Jailbroken,Crime,7.9,33.0,87.0
User Not Found,Crime,5.7,18.0,96.0
The Art of Telling Lies,Crime,4.9,241.0,90.0
The Goodman,Crime,8.1,9.0,84.0
Cornbread Mafia,Crime,9.4,25.0,83.0
Our Father,Crime,8.7,7.0,100.0
Rolling,Crime,5.8,25.0,100.0
No Other Love,Crime,6.1,154.0,119.0
Immersed in Shadows,Crime,,,90.0
Black Dove,Crime,,,48.0
Party USA,Crime,7.9,26.0,89.0
All About Her,Crime,,,96.0
Short Fuse,Crime,8.9,63.0,100.0
All the Good Eyes,Crime,6.5,107.0,117.0
"Instadocs: Alex Murdaugh, Unconvicted",Crime,5.7,465.0,30.0
The Ultimate Duo,Crime,6.3,80.0,97.0
The Deponent,Crime,7.2,32.0,102.0
El Salvador: O Dia em que o Medo Mudou de Lado,Crime,8.5,31.0,96.0
Bad Intentions,Crime,,,
Bound by Betrayal,Crime,8.8,20.0,
She Cries Murder,Crime,5.9,47.0,87.0
Trapped,Crime,,,
Hora y veinte,Crime,,,80.0
Ti psyhi tha paradoseis mori? Meros proto,Crime,6.0,191.0,103.0
My Brother's Killer,Crime,8.1,25.0,95.0
Lady Champagne,Crime,7.5,25.0,99.0
Addiction,Crime,3.8,8.0,
Tales of the Underworld,Crime,6.1,51.0,101.0
Blood Roses,Crime,8.4,1200.0,149.0
Kandan,Crime,7.7,13.0,115.0
Savage,Crime,,,
Do or Die,Crime,5.9,31.0,69.0
Dhurandhar No1,Crime,4.8,11.0,
Suspect,Crime,8.3,222.0,92.0
Sagwaan,Crime,6.7,19.0,159.0
Dark Distortion,Crime,4.7,50.0,94.0
Police Family,Crime,8.7,603.0,124.0
Si wang du ju,Crime,6.3,36.0,100.0
Dual,Crime,,,
The Samca File,Crime,5.7,127.0,90.0
Outlaws of the Everglades,Crime,9.3,22.0,
"The Hole, 309 Days to the Bloodiest Tragedy",Crime,6.1,16.0,113.0
Sold to Death,Crime,5.1,54.0,92.0
Underworld,Crime,2.9,47.0,86.0
Hidden Fixation,Crime,4.7,49.0,53.0
Life on Mercury,Crime,,,
Me Robo Al Patron Y El Negocio Tambien,Crime,9.1,19.0,86.0
The Power of Positive Murder,Crime,,,
Psychic,Crime,9.0,1000.0,118.0
Moonglow,Crime,6.3,21.0,120.0
Baga,Crime,,,
Lu & Pau,Crime,,,71.0
Against Nature,Crime,,,88.0
Suri Anna,Crime,7.1,143.0,136.0
Lucky Weekend,Crime,,,80.0
A Million Reasons,Crime,,,95.0
Baaaz in State,Crime,,,169.0
Baa Baa Black Sheep,Crime,,,
Halcones,Crime,,,145.0
The Sin City,Crime,5.3,33.0,108.0
Informant,Crime,,,
Shatir,Crime,,,125.0
Death by Fruitcake,Crime,2.0,6.0,89.0
Juvenile Inspector,Crime,,,
Aatti,Crime,,,94.0
Hollow Girls,Crime,,,87.0
Saffah El Tagammou,Crime,6.3,12.0,90.0
Muscle Beach,Crime,,,
Inherited: The Movie,Crime,,,
